Rank,SBScore,Rating,User,Subscribers,VideoViews
371,6904,B-plus,XboxAddictionz,2473721,367826487
133,3365,B-plus,XpertThief,3162643,729521051
298,85294,B,xXSlyFoxHoundXx,1274361,431861680
477,38982,B,yamimash,1388909,301142032
464,4330,B-plus,Yarasky,523261,307114883
447,38357,B,YOGSCAST Hannah,1325722,314709266
15,2842,B-plus,YOGSCAST Lewis & Simon,7338683,3534975402
79,3840,B-plus,YouAlwaysWin,2264086,1105624500
63,1980,A-minus,ZackScottGames,2438734,1411465155
324,5388,B-plus,Zangado,3509283,411502424
479,17427,B,ZaziNombies LEGO Creations,1099916,299379003
94,496,A,zbing z.,2845740,983364964
384,18060,B,Zerkaa,2627781,361394349
317,2511,B-plus,ZerkaaPlays,1555292,414976247
344,4240,B-plus,Zombey,1335122,391677042
496,1480,A-minus,Zombie V4 [ Ti?n Xinh Trai ],631938,291832867
313,4008,B-plus,ZoominGames,983415,416303197
